Session_ID,Purchase_Probability,Revenue,PageValues,Month,VisitorType,TrafficType,Region
4454,98.40%,True,24.73875,May,New_Visitor,2,5
11967,98.39%,False,69.7132141,Nov,Other,20,9
4276,98.38%,True,68.376,May,New_Visitor,2,5
3990,98.37%,True,53.47457143,May,New_Visitor,2,1
9811,98.35%,True,57.3158913,Nov,New_Visitor,8,1
889,98.34%,True,63.588,Mar,New_Visitor,2,1
9336,98.31%,True,44.20382094,Nov,New_Visitor,8,3
4720,98.31%,True,36.256,May,New_Visitor,2,5
8796,98.27%,True,68.1974018,Dec,New_Visitor,2,2
8880,98.27%,True,41.67536194,Nov,New_Visitor,3,1
11805,98.26%,True,34.14841957,Dec,New_Visitor,2,7
11075,98.25%,True,93.77761706,Dec,New_Visitor,2,1
7000,98.23%,True,42.29306752,Nov,New_Visitor,2,1
4589,98.22%,True,23.988,May,New_Visitor,2,6
3891,98.22%,True,40.43377778,May,New_Visitor,4,1
4961,98.20%,True,51.60705882,May,New_Visitor,2,4
2875,98.20%,True,43.252,May,New_Visitor,2,1
8528,98.15%,True,125.961749,Dec,New_Visitor,2,1
10931,98.14%,True,89.2954867,Dec,New_Visitor,8,4
8246,98.14%,True,54.38258659,Dec,New_Visitor,2,7
10079,98.13%,True,61.58171224,Nov,New_Visitor,7,1
4923,98.12%,True,30.87724138,May,New_Visitor,2,2
2717,98.11%,True,31.40784,May,New_Visitor,5,3
9592,98.11%,True,59.75418351,Dec,New_Visitor,8,2
11983,98.10%,True,42.83887416,Nov,New_Visitor,2,2
4009,98.09%,True,173.4697917,May,New_Visitor,2,9
7128,98.09%,True,46.84856664,Aug,New_Visitor,2,2
747,98.08%,True,31.3094364,Mar,New_Visitor,2,1
8127,98.08%,True,40.4014481,Dec,New_Visitor,6,1
3756,98.07%,False,64.33043478,May,New_Visitor,3,9
10708,98.05%,True,60.26309658,Dec,New_Visitor,20,1
5407,98.03%,True,51.03362522,Oct,New_Visitor,2,5
7104,98.03%,True,36.33496365,June,New_Visitor,2,1
11751,98.03%,True,57.5907585,Nov,New_Visitor,2,1
600,98.01%,True,53.13428571,Mar,New_Visitor,8,2
11496,98.00%,True,38.3399435,Dec,New_Visitor,20,9
1530,97.98%,True,49.82333333,Mar,New_Visitor,1,4
4214,97.96%,True,25.109,May,New_Visitor,2,1
9956,97.95%,True,115.7819471,Nov,New_Visitor,2,3
8164,97.93%,True,109.1211555,Dec,New_Visitor,2,3
4956,97.92%,True,22.738,May,New_Visitor,2,6
10249,97.88%,True,34.97250838,Nov,New_Visitor,2,1
2749,97.88%,True,29.848,May,New_Visitor,4,1
10548,97.86%,True,23.30000662,Dec,New_Visitor,2,8
3898,97.84%,True,21.588,May,New_Visitor,4,9
6228,97.83%,True,60.04472938,Sep,New_Visitor,2,4
11594,97.81%,True,63.93506419,Dec,New_Visitor,2,4
4186,97.80%,True,53.988,May,New_Visitor,2,9
5465,97.79%,True,14.00979215,Oct,New_Visitor,2,9
6533,97.78%,True,104.2012273,Sep,Returning_Visitor,2,1
8206,97.78%,True,52.49862029,Nov,New_Visitor,2,2
9927,97.76%,True,81.334441,Dec,Other,20,9
10269,97.72%,True,14.14084367,Nov,New_Visitor,6,2
5767,97.65%,True,47.57898514,Oct,Returning_Visitor,2,4
11333,97.64%,True,90.9285217,Nov,Returning_Visitor,2,1
8156,97.63%,True,46.4748023,Nov,New_Visitor,1,3
10639,97.61%,True,26.09995422,Dec,New_Visitor,2,1
7192,97.61%,True,52.17313647,Oct,Returning_Visitor,3,1
6975,97.60%,True,17.29676376,Oct,New_Visitor,2,5
3058,97.59%,True,239.98,May,Returning_Visitor,2,5
4036,97.58%,True,20.60836364,May,New_Visitor,4,1
6855,97.55%,True,47.32661324,Oct,New_Visitor,2,1
1599,97.54%,True,81.2475,Mar,Returning_Visitor,9,2
1896,97.52%,True,88.78460596,Mar,Returning_Visitor,2,1
9428,97.51%,True,88.95486906,Nov,Returning_Visitor,7,1
10662,97.51%,True,45.9675105,Dec,New_Visitor,2,4
4706,97.51%,True,23.235,May,New_Visitor,5,1
10730,97.49%,True,97.19657367,Nov,Returning_Visitor,10,1
279,97.49%,True,53.9892,Mar,Returning_Visitor,11,1
8843,97.48%,True,17.50632106,Nov,New_Visitor,2,6
7340,97.47%,True,23.00459544,Jul,New_Visitor,4,1
846,97.46%,True,25.188,Mar,New_Visitor,8,1
8575,97.42%,True,34.15414773,Nov,Returning_Visitor,7,2
7430,97.38%,True,19.47465798,Nov,New_Visitor,2,1
4087,97.38%,True,70.01826316,May,Returning_Visitor,2,1
628,97.36%,True,57.7293604,Mar,Returning_Visitor,2,3
4121,97.36%,True,62.07882353,May,Returning_Visitor,6,1
2042,97.30%,True,54.98,May,Returning_Visitor,4,4
3738,97.30%,True,72.788,May,New_Visitor,3,1
9697,97.27%,True,62.93549178,Nov,Returning_Visitor,10,1
6314,97.24%,True,83.80837784,Oct,New_Visitor,2,6
11048,97.21%,True,60.622383,Nov,New_Visitor,8,1
5989,97.19%,True,40.27815244,Oct,Returning_Visitor,20,2
7625,97.18%,True,36.13790493,June,New_Visitor,5,1
4067,97.18%,True,44.388,May,Returning_Visitor,2,3
204,97.14%,True,33.79956701,Mar,New_Visitor,3,2
7793,97.13%,True,24.61778468,Nov,New_Visitor,5,7
938,97.13%,True,35.8370931,Mar,Returning_Visitor,10,4
8057,97.11%,True,50.51764193,Nov,New_Visitor,2,2
7281,97.11%,True,58.37208988,Nov,Returning_Visitor,20,4
8674,97.10%,True,59.21256014,Nov,Returning_Visitor,6,3
1022,97.08%,True,64.7325,Mar,New_Visitor,2,1
7224,97.08%,True,38.06520001,Aug,New_Visitor,5,1
8042,97.04%,True,56.5802171,Nov,Returning_Visitor,11,2
5423,97.02%,True,60.43737784,Nov,New_Visitor,3,1
3952,97.02%,True,107.94,May,New_Visitor,4,6
10552,97.00%,True,119.8943327,Nov,Returning_Visitor,2,6
11198,97.00%,True,42.422531,Dec,Returning_Visitor,10,6
1194,96.99%,True,77.96,Mar,Returning_Visitor,2,9
7492,96.99%,True,37.96905976,Aug,New_Visitor,5,1
4240,96.98%,True,55.8486,May,New_Visitor,5,1
1306,96.96%,True,92.4822063,Mar,Returning_Visitor,2,7
3644,96.95%,True,14.98333333,May,New_Visitor,2,2
5302,96.94%,True,24.50485714,May,New_Visitor,6,2
7997,96.94%,True,94.19490268,Nov,Returning_Visitor,11,3
5882,96.93%,True,79.44353446,Jul,New_Visitor,2,5
11858,96.92%,True,92.9394993,Nov,Returning_Visitor,11,3
3682,96.91%,True,92.83857143,May,Returning_Visitor,5,1
6870,96.87%,True,179.307293,Nov,New_Visitor,2,4
11270,96.84%,True,41.422095,Nov,New_Visitor,2,4
10093,96.84%,True,67.02771302,Dec,New_Visitor,2,4
3138,96.84%,True,115.48625,May,Returning_Visitor,2,3
6811,96.82%,True,50.4111604,Aug,Returning_Visitor,4,8
5306,96.81%,True,33.788,May,New_Visitor,3,1
865,96.80%,True,17.538,Mar,New_Visitor,8,1
5395,96.78%,True,72.52283848,Nov,Returning_Visitor,2,2
8547,96.77%,True,360.9533839,Dec,Other,20,9
7865,96.77%,True,125.8939091,Nov,Returning_Visitor,2,4
7478,96.77%,True,58.9241766,Aug,Returning_Visitor,2,1
9353,96.76%,True,68.258708,Nov,Returning_Visitor,2,2
1289,96.75%,True,33.41,Mar,Returning_Visitor,6,1
7588,96.75%,True,53.6853974,Aug,New_Visitor,2,1
8539,96.74%,True,68.88769355,Nov,New_Visitor,2,1
9605,96.73%,True,36.54680355,Dec,New_Visitor,2,1
6892,96.72%,True,21.27271783,Jul,New_Visitor,2,7
10459,96.71%,True,89.13481061,Nov,Returning_Visitor,6,3
11441,96.70%,True,55.5696756,Nov,Returning_Visitor,8,9
11606,96.70%,True,14.13268846,Dec,New_Visitor,2,1
9867,96.68%,True,51.75775772,Dec,New_Visitor,2,1
4992,96.67%,True,11.988,May,New_Visitor,11,1
6223,96.65%,True,88.39170518,Oct,Returning_Visitor,20,1
10299,96.64%,True,83.96813664,Nov,New_Visitor,2,1
11201,96.64%,True,49.36350729,Nov,Returning_Visitor,7,2
8750,96.63%,True,42.62274459,Nov,Returning_Visitor,7,3
4062,96.61%,True,45.4895,May,Returning_Visitor,4,6
8902,96.59%,True,43.03066045,Dec,New_Visitor,2,3
11091,96.58%,True,54.0486956,Nov,New_Visitor,2,7
5660,96.56%,True,61.30486592,Aug,New_Visitor,5,6
7231,96.55%,True,67.98927956,Oct,Returning_Visitor,2,1
8710,96.55%,True,44.98081787,Nov,New_Visitor,8,2
3945,96.55%,True,53.988,May,Returning_Visitor,4,2
2231,96.52%,True,25.90331034,May,New_Visitor,4,1
1149,96.52%,True,33.47777322,Mar,Returning_Visitor,2,7
7800,96.51%,True,33.50211155,Oct,Returning_Visitor,2,3
8205,96.50%,True,13.18554515,Dec,New_Visitor,2,1
9593,96.49%,True,38.00063931,Nov,New_Visitor,2,1
7156,96.46%,False,29.4628439,Nov,New_Visitor,2,3
6684,96.46%,True,55.89978907,Jul,Returning_Visitor,4,1
5737,96.44%,True,100.7256048,Oct,Returning_Visitor,2,5
4730,96.39%,True,28.03452632,May,Returning_Visitor,2,2
2861,96.38%,True,53.10142857,May,Returning_Visitor,4,6
3474,96.35%,True,254.6071579,May,New_Visitor,2,1
1658,96.34%,True,76.78667659,Mar,Returning_Visitor,10,6
6325,96.33%,True,28.80119616,Aug,New_Visitor,5,1
1153,96.33%,True,21.04864167,Mar,New_Visitor,2,2
9209,96.33%,True,45.58268367,Nov,New_Visitor,8,2
8212,96.32%,True,87.9029606,Dec,Other,20,9
4123,96.26%,True,57.474,May,New_Visitor,4,5
1741,96.25%,True,13.62630613,Mar,Returning_Visitor,2,1
2742,96.23%,True,64.788,May,Returning_Visitor,2,1
7749,96.23%,True,38.27331194,Jul,New_Visitor,4,1
2018,96.18%,True,54.67634844,Mar,Returning_Visitor,2,7
6728,96.17%,True,177.7714536,Nov,Returning_Visitor,20,7
2737,96.17%,True,55.23646154,May,Returning_Visitor,4,3
11320,96.13%,True,23.18305163,Dec,New_Visitor,8,1
8485,96.10%,True,59.6118415,Nov,Returning_Visitor,2,2
10339,96.08%,True,128.4686939,Dec,Returning_Visitor,10,4
6623,96.06%,True,61.91792063,Aug,New_Visitor,2,3
3433,96.06%,True,49.3886,May,New_Visitor,3,2
3578,96.04%,True,44.99,May,Returning_Visitor,5,2
3252,96.02%,True,58.488,May,Returning_Visitor,6,3
6815,96.02%,True,61.80843596,Nov,Returning_Visitor,2,4
5677,96.02%,True,78.56959864,Sep,Returning_Visitor,2,3
1392,95.99%,False,20.26155684,Mar,New_Visitor,2,2
5353,95.99%,True,23.03329412,May,New_Visitor,2,9
4981,95.96%,True,16.32244444,May,Returning_Visitor,11,6
9151,95.96%,True,361.7637419,Nov,New_Visitor,2,3
2777,95.96%,True,53.22881633,May,New_Visitor,2,3
6007,95.93%,True,24.9184548,Oct,Returning_Visitor,2,3
6377,95.92%,True,34.03997536,Sep,Returning_Visitor,1,4
4397,95.92%,True,38.20940741,May,Returning_Visitor,4,3
3988,95.92%,True,22.27457143,May,Returning_Visitor,11,1
7957,95.90%,True,52.11335786,Nov,New_Visitor,2,1
3918,95.89%,True,47.65566667,May,Returning_Visitor,4,1
8064,95.88%,True,15.14864831,Nov,New_Visitor,8,9
5993,95.87%,True,62.853261,Sep,New_Visitor,2,4
7122,95.84%,True,30.54596337,Nov,New_Visitor,4,1
10033,95.84%,True,58.20233822,Dec,New_Visitor,1,1
7046,95.83%,True,82.021436,Oct,Returning_Visitor,20,1
5199,95.82%,True,49.388,May,Returning_Visitor,4,1
5432,95.78%,True,7.68745056,Oct,New_Visitor,3,1
5390,95.78%,True,36.66178288,Oct,New_Visitor,5,2
2533,95.77%,True,29.31555556,May,Returning_Visitor,2,1
9198,95.75%,True,100.1655678,Nov,Returning_Visitor,3,1
8493,95.75%,True,69.46175766,Dec,Returning_Visitor,3,4
3012,95.75%,True,22.088,May,New_Visitor,5,1
5959,95.75%,True,18.51505467,June,New_Visitor,2,1
9860,95.74%,True,9.836358025,Nov,New_Visitor,2,5
7080,95.73%,True,71.07435633,Oct,Returning_Visitor,2,1
3532,95.71%,True,9.641076923,May,New_Visitor,2,8
198,95.70%,True,153.4432478,Mar,Returning_Visitor,8,7
8039,95.70%,True,25.7526389,Dec,New_Visitor,2,2
2120,95.67%,True,28.39833333,May,New_Visitor,2,8
10169,95.67%,True,18.85086521,Dec,New_Visitor,8,1
11514,95.64%,True,18.85445822,Nov,Returning_Visitor,2,1
10693,95.64%,True,16.1585582,Nov,Returning_Visitor,8,3
6756,95.64%,True,60.71287168,Sep,Returning_Visitor,2,7
6147,95.62%,True,54.91911804,Sep,New_Visitor,2,7
4245,95.60%,True,17.808,May,Returning_Visitor,6,8
7251,95.59%,True,13.59007196,Oct,Returning_Visitor,2,3
2416,95.57%,True,71.488,May,New_Visitor,2,2
9855,95.56%,True,111.2629939,Nov,Returning_Visitor,2,1
7587,95.54%,True,33.83646892,June,New_Visitor,1,6
8989,95.54%,True,50.07598981,Nov,Returning_Visitor,10,7
6667,95.53%,True,67.18378365,Nov,Returning_Visitor,6,1
4950,95.50%,True,44.56114286,May,Returning_Visitor,5,9
6531,95.48%,True,50.36347405,Jul,Returning_Visitor,1,3
12077,95.48%,True,30.30681247,Dec,Returning_Visitor,2,1
7762,95.47%,True,28.69843548,Oct,New_Visitor,2,6
2657,95.46%,True,32.14213333,May,Returning_Visitor,6,2
9146,95.43%,True,29.62188989,Dec,Returning_Visitor,10,9
1951,95.42%,True,57.96417654,Mar,New_Visitor,3,2
2548,95.42%,True,39.97777778,May,Returning_Visitor,2,1
8641,95.41%,True,14.1273698,Nov,New_Visitor,8,4
10163,95.41%,True,18.1695357,Nov,New_Visitor,8,1
10238,95.40%,True,17.22281788,Nov,New_Visitor,2,1
10415,95.37%,True,42.70505393,Dec,Other,20,9
10598,95.37%,True,42.422531,Dec,Returning_Visitor,2,9
1630,95.37%,True,18.02533,Mar,Returning_Visitor,2,1
1301,95.37%,True,28.05094335,Mar,New_Visitor,8,1
7885,95.36%,True,11.80891356,June,Returning_Visitor,2,1
6864,95.36%,True,53.88782441,Nov,New_Visitor,5,1
11164,95.34%,True,40.42327574,Nov,Returning_Visitor,2,7
8130,95.31%,True,25.25564195,Dec,New_Visitor,2,7
3887,95.28%,True,107.2170213,May,Returning_Visitor,4,2
6307,95.26%,True,35.34967016,Sep,Returning_Visitor,2,3
9442,95.25%,True,97.9922066,Nov,Returning_Visitor,2,2
7183,95.21%,True,14.37785831,Sep,New_Visitor,6,1
4479,95.20%,True,35.98,May,Returning_Visitor,4,3
8993,95.19%,True,17.5336164,Nov,New_Visitor,10,6
6499,95.19%,True,70.31635146,Nov,New_Visitor,2,3
9026,95.16%,True,61.20406619,Nov,Returning_Visitor,10,2
3526,95.16%,True,54.21806897,May,Returning_Visitor,2,1
2221,95.16%,True,33.9612,May,Returning_Visitor,6,1
6356,95.13%,True,21.47899475,Oct,Returning_Visitor,20,6
5114,95.08%,True,23.388,May,Returning_Visitor,1,3
9001,95.06%,True,19.18108767,Dec,New_Visitor,2,3
6057,95.04%,True,33.22292729,Jul,Returning_Visitor,2,1
2636,95.03%,True,44.29661538,May,New_Visitor,2,1
6417,95.02%,True,22.15399132,Nov,Returning_Visitor,3,7
11268,95.00%,True,44.06491359,Nov,Returning_Visitor,2,6
2539,94.97%,True,146.23875,May,New_Visitor,2,5
6179,94.97%,False,34.5222117,Oct,Returning_Visitor,2,1
10433,94.96%,True,60.73155753,Nov,Returning_Visitor,10,1
7278,94.96%,True,34.03997536,June,New_Visitor,5,1
7852,94.92%,True,20.82613173,Nov,Returning_Visitor,5,2
3142,94.90%,True,51.176,May,Returning_Visitor,1,1
293,94.90%,True,59.79014286,Mar,Returning_Visitor,3,1
7565,94.89%,True,22.65617015,Oct,New_Visitor,2,6
6530,94.89%,True,45.71146255,Aug,Returning_Visitor,4,1
6819,94.80%,True,17.62211147,Nov,New_Visitor,2,4
2023,94.80%,True,11.99264025,Mar,Returning_Visitor,2,1
1885,94.77%,True,14.0292,Mar,New_Visitor,2,9
2059,94.77%,True,14.6895,May,Returning_Visitor,5,1
6732,94.74%,True,92.97624144,Oct,Returning_Visitor,2,7
1528,94.74%,True,20.91831644,Mar,New_Visitor,2,1
11625,94.73%,True,51.86660251,Nov,New_Visitor,2,3
3349,94.70%,True,11.13171429,May,New_Visitor,3,1
3470,94.69%,True,35.091,May,Returning_Visitor,2,1
4219,94.67%,True,50.388,May,New_Visitor,5,1
4636,94.67%,True,20.88818182,May,Returning_Visitor,2,1
4380,94.67%,True,26.98,May,Returning_Visitor,2,3
7718,94.66%,True,57.03508179,Aug,Returning_Visitor,1,4
6883,94.65%,True,68.32050059,Aug,New_Visitor,2,5
8349,94.65%,True,218.8649096,Dec,New_Visitor,3,5
9869,94.63%,True,43.89691103,Nov,New_Visitor,2,1
11568,94.61%,True,87.9029606,Dec,Other,20,9
5410,94.54%,True,106.2525169,Nov,Returning_Visitor,2,9
5567,94.53%,True,43.29821166,Aug,Returning_Visitor,5,6
3525,94.52%,True,56.35884615,May,Returning_Visitor,19,1
9061,94.51%,True,40.4014481,Dec,Returning_Visitor,2,9
8587,94.49%,True,49.72830378,Nov,Returning_Visitor,8,1
2228,94.48%,True,44.47733333,May,New_Visitor,4,1
1010,94.47%,True,10.83431037,Mar,New_Visitor,8,6
10059,94.46%,True,9.0847678,Nov,Returning_Visitor,11,4
9828,94.45%,True,16.1585582,Nov,Returning_Visitor,2,1
2026,94.42%,True,39.85866667,Mar,Returning_Visitor,2,1
6079,94.41%,True,60.58437066,Nov,New_Visitor,2,3
8531,94.39%,True,52.28491058,Dec,New_Visitor,2,3
12143,94.36%,True,42.03044096,Nov,Returning_Visitor,2,3
3740,94.35%,True,14.55428571,May,Returning_Visitor,2,3
9919,94.33%,True,19.37005896,Dec,Returning_Visitor,1,4
9261,94.32%,True,21.2112655,Nov,New_Visitor,10,1
851,94.31%,True,75.06781572,Mar,New_Visitor,10,6
3132,94.30%,True,60.34235294,May,Returning_Visitor,3,1
4208,94.29%,True,18.27428571,May,Returning_Visitor,4,1
414,94.20%,True,11.9955404,Mar,Returning_Visitor,3,1
7474,94.18%,True,45.92878029,Nov,Returning_Visitor,20,2
1272,94.16%,True,53.25533333,Mar,Returning_Visitor,2,1
9474,94.15%,True,5.1680996,Nov,Returning_Visitor,2,1
6192,94.12%,True,94.01683315,Nov,New_Visitor,2,3
9606,94.05%,True,13.1168283,Dec,New_Visitor,2,1
8645,94.04%,True,47.44850792,Nov,Returning_Visitor,10,1
7991,94.03%,True,42.23025869,Dec,Returning_Visitor,1,3
5154,94.02%,True,40.87111111,May,Returning_Visitor,4,3
11830,94.01%,True,34.27708553,Nov,Returning_Visitor,10,1
9403,93.99%,True,8.754045182,Dec,New_Visitor,2,7
2727,93.98%,True,47.93128205,May,New_Visitor,2,3
11516,93.95%,True,87.74978701,Dec,Returning_Visitor,8,1
10990,93.94%,True,16.7293697,Dec,New_Visitor,2,3
7696,93.91%,True,30.20357704,Nov,Returning_Visitor,2,3
4391,93.85%,True,55.485,May,Returning_Visitor,2,4
9621,93.81%,True,77.10821943,Nov,New_Visitor,8,1
10432,93.78%,True,15.75636267,Nov,Returning_Visitor,3,4
3168,93.77%,True,36.65444444,May,New_Visitor,2,2
1680,93.72%,True,52.70052142,Mar,Returning_Visitor,11,1
8706,93.70%,True,255.5691579,Nov,Returning_Visitor,8,2
2037,93.65%,True,24.75047619,Mar,New_Visitor,2,1
4064,93.64%,True,32.382,May,Returning_Visitor,1,2
3618,93.63%,True,10.51809524,May,Returning_Visitor,4,7
2785,93.60%,True,34.25336842,May,Returning_Visitor,11,3
3874,93.59%,True,31.75846154,May,Returning_Visitor,6,9
11893,93.59%,True,12.18867006,Dec,New_Visitor,2,1
3338,93.58%,True,22.12888889,May,Returning_Visitor,4,1
4494,93.56%,True,17.541,May,Returning_Visitor,4,2
5719,93.55%,True,32.73061637,Jul,Returning_Visitor,2,3
5970,93.55%,False,63.55337685,Jul,Returning_Visitor,4,4
9856,93.54%,True,14.1374752,Nov,New_Visitor,3,2
11739,93.52%,True,141.4590538,Nov,Returning_Visitor,2,1
11276,93.47%,True,136.937958,Dec,Other,20,9
7485,93.43%,False,26.18180656,Jul,New_Visitor,2,1
7533,93.43%,True,64.2879309,Aug,Returning_Visitor,2,1
9551,93.43%,True,12.45078371,Nov,New_Visitor,8,2
4691,93.43%,True,23.13,May,Returning_Visitor,2,1
1234,93.38%,True,35.49,Mar,Returning_Visitor,1,3
11692,93.35%,True,46.06937312,Dec,Other,20,9
10142,93.35%,True,23.00194502,Dec,New_Visitor,2,1
9170,93.34%,True,143.4766783,Dec,New_Visitor,2,9
6132,93.31%,True,54.9950922,Jul,Returning_Visitor,1,1
6941,93.29%,True,79.51302667,Oct,New_Visitor,3,1
3325,93.29%,True,56.32466667,May,Returning_Visitor,3,1
2962,93.24%,True,79.182,May,Returning_Visitor,1,1
12086,93.16%,True,50.81417971,Dec,New_Visitor,2,7
6868,93.13%,True,17.36252324,Sep,New_Visitor,4,2
9779,93.13%,True,32.90611766,Dec,Returning_Visitor,1,4
2873,93.07%,True,49.54827273,May,Returning_Visitor,2,4
292,93.00%,True,44.67925,Mar,Returning_Visitor,7,1
5065,92.96%,True,22.738,May,New_Visitor,2,4
11057,92.94%,True,53.73655336,Nov,Returning_Visitor,8,1
3835,92.94%,True,45.6125,May,New_Visitor,2,7
9966,92.90%,True,88.80448992,Dec,Returning_Visitor,2,1
10414,92.87%,True,59.51850423,Dec,New_Visitor,2,1
10148,92.87%,True,60.62885042,Nov,New_Visitor,2,1
11324,92.86%,True,10.21771151,Nov,Returning_Visitor,11,1
6437,92.84%,True,45.63345378,Oct,New_Visitor,2,1
7730,92.81%,True,47.7917708,Sep,New_Visitor,3,6
11261,92.79%,True,32.3171163,Nov,Returning_Visitor,3,5
6997,92.75%,True,83.10114264,Nov,Returning_Visitor,2,3
9518,92.72%,True,19.10349568,Dec,Returning_Visitor,1,3
3766,92.70%,True,100.0963636,May,Returning_Visitor,2,1
3380,92.64%,True,113.98,May,Returning_Visitor,2,1
7804,92.63%,True,27.31510469,Oct,Returning_Visitor,1,1
7072,92.61%,True,86.12351528,Nov,New_Visitor,2,9
6457,92.60%,True,12.01221257,Oct,Returning_Visitor,1,1
10324,92.57%,True,21.47448516,Nov,Returning_Visitor,10,3
11204,92.57%,True,5.002669777,Nov,New_Visitor,8,4
6155,92.53%,True,42.30391708,Aug,Returning_Visitor,20,1
263,92.48%,True,51.46331148,Mar,Returning_Visitor,1,3
5502,92.45%,True,32.95851549,Jul,Returning_Visitor,4,1
3300,92.45%,True,100.7776,May,Returning_Visitor,2,3
6984,92.41%,True,22.89972198,Nov,New_Visitor,5,3
7300,92.39%,True,48.99526482,Aug,Returning_Visitor,2,7
1381,92.36%,True,60.29018448,Mar,Returning_Visitor,1,3
8332,92.35%,False,19.6055151,Nov,Returning_Visitor,10,1
579,92.33%,True,9.294775641,Mar,Returning_Visitor,10,1
11063,92.33%,True,33.86849093,Nov,Returning_Visitor,8,1
10492,92.32%,True,17.54619116,Nov,Returning_Visitor,10,1
7928,92.30%,True,7.848538778,Dec,New_Visitor,8,3
11901,92.25%,True,16.16057924,Dec,Returning_Visitor,2,7
6699,92.21%,True,19.50605707,Aug,New_Visitor,2,4
1295,92.21%,True,27.75904925,Mar,Returning_Visitor,2,2
11767,92.17%,False,41.13433129,Nov,Returning_Visitor,2,4
1047,92.16%,True,60.04549665,Mar,Returning_Visitor,2,3
1818,92.16%,True,44.71103438,Mar,New_Visitor,8,3
6186,92.15%,True,19.63031016,Nov,New_Visitor,2,5
1030,92.14%,True,144.3934888,Mar,Returning_Visitor,2,7
1978,92.13%,True,109.9124051,Mar,Returning_Visitor,2,4
363,92.06%,True,34.43601877,Mar,New_Visitor,3,9
11014,92.01%,True,61.61833364,Dec,New_Visitor,2,5
10919,91.98%,True,56.31760103,Nov,Returning_Visitor,11,1
9590,91.96%,True,12.30811748,Nov,Returning_Visitor,10,1
8394,91.95%,True,8.524548919,Nov,New_Visitor,8,9
3805,91.92%,True,31.31885714,May,Returning_Visitor,2,6
2703,91.90%,True,71.944,May,Returning_Visitor,3,2
882,91.88%,True,31.188,Mar,Returning_Visitor,3,7
7812,91.87%,True,20.2755559,Sep,New_Visitor,2,2
9419,91.84%,True,1.03529974,Nov,Returning_Visitor,10,1
7744,91.84%,True,26.67428219,Aug,Returning_Visitor,1,1
9759,91.82%,True,23.6645871,Dec,Returning_Visitor,2,1
4676,91.82%,False,12.61543434,May,Returning_Visitor,2,5
7785,91.79%,True,26.13036122,Nov,New_Visitor,2,6
